year,Population,council,waste_pp,garbage_pp,recycle_pp,organic_pp,collect_type,amount,diversion_rate
2002,7600,Buloke Shire Council,0.266184211,0.233684211,0.0325,0,steel_collect,6.14,0.122095897
2002,7600,Buloke Shire Council,0.266184211,0.233684211,0.0325,0,paper_collect,149.74,0.122095897
2002,7600,Buloke Shire Council,0.266184211,0.233684211,0.0325,0,plastic_collect,13.82,0.122095897
2002,7600,Buloke Shire Council,0.266184211,0.233684211,0.0325,0,total_glass_collect,75.25,0.122095897
2002,36363,Campaspe Shire Council,0.380414157,0.351676154,0.028738003,0,total_garbage_collect,12788,0.075543989
2002,36363,Campaspe Shire Council,0.380414157,0.351676154,0.028738003,0,total_recycle_actual,1045,0.075543989
2002,36363,Campaspe Shire Council,0.380414157,0.351676154,0.028738003,0,organic_collect,0,0.075543989
2002,36363,Campaspe Shire Council,0.380414157,0.351676154,0.028738003,0,aluminium_collect,0,0.075543989
2002,36363,Campaspe Shire Council,0.380414157,0.351676154,0.028738003,0,steel_collect,24,0.075543989
2002,36363,Campaspe Shire Council,0.380414157,0.351676154,0.028738003,0,paper_collect,525,0.075543989
2002,36363,Campaspe Shire Council,0.380414157,0.351676154,0.028738003,0,plastic_collect,140,0.075543989
2002,36363,Campaspe Shire Council,0.380414157,0.351676154,0.028738003,0,total_glass_collect,356,0.075543989
2002,47000,Cardinia Shire Council,0.271042553,0.182978723,0.086808511,0.001255319,total_garbage_collect,8600,0.324907764
2002,47000,Cardinia Shire Council,0.271042553,0.182978723,0.086808511,0.001255319,total_recycle_actual,2937.6,0.324907764
2002,47000,Cardinia Shire Council,0.271042553,0.182978723,0.086808511,0.001255319,organic_collect,59,0.324907764
2002,47000,Cardinia Shire Council,0.271042553,0.182978723,0.086808511,0.001255319,aluminium_collect,40.8,0.324907764
2002,47000,Cardinia Shire Council,0.271042553,0.182978723,0.086808511,0.001255319,steel_collect,40.8,0.324907764
2002,47000,Cardinia Shire Council,0.271042553,0.182978723,0.086808511,0.001255319,paper_collect,2121.6,0.324907764
2002,47000,Cardinia Shire Council,0.271042553,0.182978723,0.086808511,0.001255319,plastic_collect,285.6,0.324907764
