street_name,council_name,green_frequency,green_next,landfill_frequency,landfill_next,recycle_frequency,recycle_next
Anice Street,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Heathland Circuit,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Nelson Street,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Nelson Street,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Nelson St,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
O'Meara Crescent,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Starling Street,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Cartwright Grove,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Royaloak Crescent Driveway Link,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Royaloak Crescent,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Sundew Avenue,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Homebush Avenue,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Maggie Street,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Symons Street,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Daws Street,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Dartnell Street,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Earlston Circuit,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Canopy Grove,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Lineham Dr,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Boonwurrung Street,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Cortula Road Driveway Link,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Cortula Road,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Otto Street,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Leak Avenue,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Parkhurst Drive,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Parkhurst Dr,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Quattro Avenue,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Scullin Street,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Beatham Way,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Native Retreat Driveway Link,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Native Retreat,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Heales Road,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Nellburn Terrace,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Jolly Street,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Mcewan Drive,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Mcewan Drive Driveway Link,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Benedetto Crescent,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Hammersmith Way,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Macpherson Circuit,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Alderstone Rise,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Langside Grove,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Annabella St,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Baranello Crescent,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Celtic Drive,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Holt Lane,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Burchill Avenue,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
