street_name,council_name,landfill_frequency,landfill_next,recycle_frequency,recycle_next,green_frequency,green_next
Callistemon Court,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Rosewood Court,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Hastie Street,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Mayfair Court,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Redwood Court,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Finns Road,Scotsburn,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Yarra Gum Place,Mount Clear,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Woodland Drive,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Platypus Drive,Mount Clear,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Jemacra Place,Mount Clear,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Elizabeth Street,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
The Horizon,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Parkhaven Court,Mount Clear,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Zoe Drive,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Mangans Road,Durham Lead,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Nidschelms Lane,Scotsburn,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Platform Close,Mount Clear,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Davies Street,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Fletcher Court,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Club House Close,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Brodie Court,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Griffiths Court,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Delaland Avenue,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Graham Street,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Brookside Drive,Mount Clear,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Coxall Street,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Pepper Lane,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Merryweather Place,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Whykes Avenue,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Phoenix Drive,Mount Clear,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Logan Court,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Slaughterhouse Road,Durham Lead,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Gumtree Court,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Henry Avenue,Mount Clear,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Ogilvie Lane,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Chapmans Lane,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Hendersons Lane,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Nidschelms Lane,Durham Lead,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Lapilli Lane,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Somerville Road,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Sobey Street,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Coleman Court,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Eilish Court,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Nashs Road,Scotsburn,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Griffeys Lane,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Yankee Flat Road,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Correa Court,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Windarra Lane,Durham Lead,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Yankee Flat Road,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Currawong Court,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Buninyong - Mount Mercer Road,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Nijams Road,Magpie,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Ironbark Close,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Misty Lane,Durham Lead,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Viola Court,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Caffrey Street,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Nyora Grove,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Forbes Street,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Innes Lane,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Sykes Road,Scotchmans Lead,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Albert Street,Sebastopol,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Blackberry Lane West,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Midland Highway,Sebastopol,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Tuppens Road,Magpie,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Waterloo Lane,Magpie,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Hiscock Gully Road,Magpie,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Kinseys Road,Durham Lead,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Pioneer Lane,Durham Lead,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Sand Road,Durham Lead,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Coads Lane,Scotchmans Lead,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Gainer Lane,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Chalk Hill Lane,Scotchmans Lead,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Gordon Alfred Lane,Scotsburn,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Slaughterhouse Road,Scotchmans Lead,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Nashs Road,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Dredge Road,Magpie,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Skewes Court,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
King Gully Lane,Durham Lead,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Hannah Close,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Cemetery Road,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Off Sykes Road,Scotchmans Lead,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Sewell Court,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Quinns Lane,Magpie,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Kookaburra Close,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Maes Lane,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Allenby Court,Mount Clear,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Union Street,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Reserve Lane,Scotchmans Lead,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Wildflower Lane,Durham Lead,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Quartz Crescent,Durham Lead,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Hendersons Lane,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Kilderkin Avenue,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Gunns Lane,Magpie,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Nicholsons Road,Durham Lead,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Docwra Street,Magpie,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Commercial Street,Buninyong,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Jones Avenue,Mount Helen,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Pryors Road,Durham Lead,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Hopetoun Street,Ballarat East,weekly,11/10/2023,fortnightly,18/10/2023,fortnightly,11/10/2023
Alfred Street North,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Aquila Court,Ballarat North,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Armstrong Street North,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Armstrong Street North,Ballarat North,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Arthur Street,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Baird Street,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Beaufort Crescent,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Brawn Avenue,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Brougham Street,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Burnbank Close,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Burnbank Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Burnbank Street,Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Cardigan Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Cardwell Street,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Chesterfield Court,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Chevron Court,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Chisholm Street,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Clarendon Street,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Clyde Street,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Colpin Avenue,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Comb Street,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Cowan Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Creswick Road,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Creswick Road,Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Crocker Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Crompton Street,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Davey Street,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Dawsons Avenue,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Devon Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Doveton Crescent,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Doveton Street North,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Doveton Street North,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Doveton Street North,Ballarat North,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Dowling Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Drummond Street North,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Drummond Street North,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Duncan Street,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Elliott Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Exeter Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Fore Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Forest Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Frank Street,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Gillies Street South,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Gnarr Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Gordonia Court,Ballarat North,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Gregory Street,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Gregory Street,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Gregory Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Gregory Street,Black Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Grove Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Haddon Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Hamilton Avenue,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Havelock Street,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Havelock Street,Black Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
High Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Holmes Street,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Hotham Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Howard Street,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Howitt Street,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Howitt Street,Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Howitt Street,Ballarat North,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Stanley Street,Ballarat North,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Hurley Street,Ballarat North,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Johnson Street,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Killeen Avenue,Black Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Kinnane Court,Ballarat North,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Lake Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Lavinia Drive,Ballarat North,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Learmonth Street,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Leopold Street,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Lexton Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Lexton Street,Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Lexton Street,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Ligar Street,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Ligar Street,Ballarat North,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Lilley Street,Ballarat North,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Lindisfarne Crescent,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Little Clyde Street,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Little Raglan Street,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Loch Avenue,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Longley Street,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Lydiard Street North,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Lydiard Street North,Ballarat North,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Lyons Street North,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Macarthur Street,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Macarthur Street,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Macarthur Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Mair Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Mair Street,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
McWilliam Street,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Midlands Drive,Ballarat North,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Midlands Terrace,Ballarat North,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Mill Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Mill Street,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Mitchell Court,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Munro Street,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Neill Street,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Paling Street,Ballarat North,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Parker Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Pisgah Street,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Pleasant Street North,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Ripon Street North,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Service Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Seymour Street,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
St Aidans Drive,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Stafford Court,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Sturt Street,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Sturt Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Tennis Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
The Boulevarde,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
The Court,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
The Grange,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Vale Street,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Victoria Avenue,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Walsh Avenue,Ballarat North,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Webster Street,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Webster Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Wendouree Parade,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
White Avenue,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Yuille Street,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Gregory Street,Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Ronald Street,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Pebble Close,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Boadle Close,Ballarat North,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Wood Street,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Malthouse Close,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Dunrobin Court,Ballarat North,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Silo Close,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Martin Avenue,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Fermanagh Street,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Nolan Street,Soldiers Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Sturt Street,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Lesley Court,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Creekstone Drive,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Glendale Court,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Bold Front Court,Miners Rest,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Parade Court,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Lemon Street,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Victory Avenue,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Duncan Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Hammond Street,Lucas,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Avoca Crescent,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Carlton Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Claxton Street,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Gillies Street North,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Morrison Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Oddie Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Raglan Street South,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Winter Street,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Ripon Avenue,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Napier Avenue,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Market Street,Ballarat Central,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Collins Street,Lake Wendouree,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Gillingham Place,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Kalamata Avenue,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Wexford Street,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Caligari Way,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Rutherford Place,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Barkly Street,Bakery Hill,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Tipperary Street,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
OBrien Drive,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Willoby Drive,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Longford Road,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Peridot Way,Alfredton,weekly,17/10/2023,fortnightly,24/10/2023,fortnightly,17/10/2023
Adair Street,Redan,weekly,17/10/2023,fortnightly,17/10/2023,fortnightly,24/10/2023
Ajax Street,Newington,weekly,17/10/2023,fortnightly,17/10/2023,fortnightly,24/10/2023
Almurta Street,Alfredton,weekly,17/10/2023,fortnightly,17/10/2023,fortnightly,24/10/2023
Arrandale Avenue,Alfredton,weekly,17/10/2023,fortnightly,17/10/2023,fortnightly,24/10/2023
Ascot Street North,Ballarat Central,weekly,17/10/2023,fortnightly,17/10/2023,fortnightly,24/10/2023
