recycle_centre,waste_type,longtitude,latitude
Officeworks Maribyrnong,battery,144.8839667,-37.7724829
Officeworks Mentone,battery,145.066452,-37.97445314
Officeworks Mornington,battery,145.0622699,-38.2022684
Officeworks Pakenham,battery,145.4561402,-38.06037253
Officeworks Preston,battery,145.0187534,-37.74745492
Officeworks Richmond,battery,145.0110493,-37.82054795
Officeworks Shepparton,battery,145.0117028,-37.81775239
Officeworks South Melbourne,battery,144.9677809,-37.83222998
Officeworks South Yarra,battery,144.9885567,-37.84571214
Officeworks Taylors Lakes,battery,144.7767699,-37.69668025
Officeworks Traralgon,battery,146.5532395,-38.15889063
Officeworks Vermont South,battery,145.1956733,-37.8588278
Officeworks Werribee,battery,144.6597292,-37.90371434
Officeworks Yarraville,battery,144.8820488,-37.82396728
Bunnings Altona,battery,144.8438743,-37.84543376
Bunnings Bairnsdale,battery,144.8438489,-37.84097391
Bunnings Ballarat,battery,143.8548355,-37.51765771
Bunnings Bayswater,battery,145.2794105,-37.82892015
Bunnings Bendigo,battery,144.2426856,-36.80828719
Bunnings Box Hill,battery,145.1331037,-37.83637983
Bunnings Broadmeadows,battery,144.9209905,-37.6752435
Bunnings Brunswick,battery,144.9618056,-37.76742009
Bunnings Caroline Springs,battery,144.7477632,-37.76053951
Bunnings Carrum Downs,battery,145.1722784,-38.08451549
Bunnings Clyde North,battery,145.3334887,-38.09217741
Bunnings Coburg,battery,144.9600695,-37.73211302
Bunnings Colac,battery,143.6026075,-38.30277536
Bunnings Collingwood,battery,144.9900159,-37.80888254
Bunnings Cranbourne,battery,145.279095,-38.08347649
Bunnings Croydon,battery,145.3042097,-37.76572372
Bunnings Dandenong,battery,145.2504408,-38.00461644
Bunnings Delacombe,battery,143.806714,-37.55462041
Bunnings Doncaster,battery,145.1283831,-37.78685979
Bunnings East Pakenham,battery,145.4936497,-38.0836126
Bunnings Echuca,battery,144.7575062,-36.13882683
Bunnings Eltham,battery,145.140793,-37.71760536
Bunnings Epsom,battery,144.306658,-36.6794417
Bunnings Fairfield,battery,145.023348,-37.76626491
Bunnings Frankston,battery,145.1358025,-38.15017673
Bunnings Geelong North,battery,144.3535833,-38.09756452
Bunnings Hamilton,battery,141.9754204,-37.64635546
Bunnings Hastings,battery,145.1856904,-38.28554576
Bunnings Hawthorn,battery,145.0313672,-37.82252158
